Time Frame,Date,Ta (C),Tm (C),I3 (W/m2),I15 (W/m2),P (kW)
8,5/31/12 3:53 PM,0.0,0.0,671.94,694.1,540.29
9,5/31/12 3:53 PM,0.0,0.0,818.16,851.64,656.08
10,5/31/12 3:53 PM,0.0,0.0,919.92,956.53,725.9
11,5/31/12 3:53 PM,0.0,0.0,964.77,986.16,734.1
12,5/31/12 3:53 PM,0.0,0.0,948.88,961.6,733.77
13,5/31/12 3:53 PM,0.0,0.0,882.08,877.09,684.09
14,5/31/12 3:53 PM,0.0,0.0,762.76,741.25,589.0
15,5/31/12 3:53 PM,0.0,0.0,596.21,555.76,458.69
16,5/31/12 3:53 PM,0.0,0.0,389.82,337.13,282.01
17,5/31/12 3:53 PM,0.0,0.0,171.71,125.11,102.01
18,5/31/12 3:53 PM,0.0,0.0,33.96,26.56,20.2
19,5/31/12 3:53 PM,0.0,0.0,0.21,0.18,0.42
20,5/31/12 3:53 PM,0.0,0.0,0.0,0.0,0.0
21,5/31/12 3:53 PM,0.0,0.0,0.0,0.0,0.0
22,5/31/12 3:53 PM,0.0,0.0,0.0,0.0,0.0
23,5/31/12 3:53 PM,0.0,0.0,0.0,0.0,0.0
24,5/31/12 3:53 PM,0.0,0.0,0.0,0.0,0.0
1,5/31/12 3:53 PM,0.0,0.0,0.0,0.0,0.0
2,5/31/12 3:53 PM,0.0,0.0,0.0,0.0,0.0
3,5/31/12 3:53 PM,0.0,0.0,0.0,0.0,0.0
4,6/1/12 4:54 AM,14.81,10.24,9.23,10.04,6.2
5,6/1/12 5:54 AM,16.7,13.49,109.27,100.86,63.14
6,6/1/12 6:54 AM,20.58,23.61,288.0,290.65,231.43
7,6/1/12 7:54 AM,23.81,38.16,487.12,505.2,408.87
8,6/1/12 8:54 AM,26.8,48.33,668.6,693.04,533.95
9,6/1/12 9:54 AM,28.97,56.25,815.04,825.04,656.87
10,6/1/12 10:54 AM,30.3,60.39,909.83,949.23,710.51
11,6/1/12 11:54 AM,30.58,60.42,938.89,982.19,715.98
12,6/1/12 12:51 PM,31.64,60.37,955.52,964.0,731.05
13,6/1/12 1:51 PM,31.64,53.59,805.49,790.51,628.58
14,6/1/12 2:51 PM,31.11,48.53,701.31,683.48,557.45
15,6/1/12 3:51 PM,29.68,39.37,396.47,378.19,325.04
16,6/1/12 4:51 PM,28.6,32.44,273.23,254.32,215.32
17,6/1/12 5:51 PM,29.74,30.19,191.57,154.23,130.04
18,6/1/12 6:51 PM,25.54,24.8,62.37,49.21,40.54
19,6/1/12 7:51 PM,22.49,18.61,0.21,0.32,0.48
20,6/1/12 8:51 PM,20.57,15.62,0.0,0.0,0.0
21,6/1/12 9:51 PM,19.38,14.64,0.0,0.0,0.0
22,6/1/12 9:51 PM,0.0,0.0,0.0,0.0,0.0
23,6/1/12 9:51 PM,0.0,0.0,0.0,0.0,0.0
24,6/1/12 9:51 PM,0.0,0.0,0.0,0.0,0.0
1,6/1/12 9:51 PM,0.0,0.0,0.0,0.0,0.0
2,6/1/12 9:51 PM,0.0,0.0,0.0,0.0,0.0
3,6/1/12 9:51 PM,0.0,0.0,0.0,0.0,0.0
4,6/2/12 4:51 AM,15.45,10.77,9.59,11.13,5.48
5,6/2/12 5:51 AM,17.41,14.49,126.34,104.22,61.55
6,6/2/12 6:51 AM,21.0,23.0,297.5,293.97,236.86
7,6/2/12 7:51 AM,23.74,34.71,486.24,506.35,413.68
8,6/2/12 8:51 AM,26.27,45.61,665.53,693.52,542.23
9,6/2/12 9:51 AM,27.87,52.01,812.95,849.61,661.4
10,6/2/12 10:51 AM,29.33,56.17,916.2,948.95,725.03
11,6/2/12 11:51 AM,30.15,57.3,961.43,984.54,753.2
12,6/2/12 12:51 PM,31.33,59.37,951.47,958.63,730.99
13,6/2/12 1:51 PM,32.18,57.2,882.91,875.51,680.88
14,6/2/12 2:51 PM,32.33,52.22,763.45,739.61,594.01
15,6/2/12 3:51 PM,31.82,46.73,601.44,560.53,463.79
16,6/2/12 4:51 PM,33.13,39.3,406.61,350.78,291.95
17,6/2/12 5:51 PM,32.34,31.8,208.05,145.61,116.85
18,6/2/12 6:51 PM,26.05,24.78,44.94,25.32,19.74
19,6/2/12 7:51 PM,22.78,18.36,0.31,0.35,0.83
20,6/2/12 8:51 PM,20.51,14.53,0.0,0.0,0.0
21,6/2/12 9:51 PM,18.92,12.82,0.0,0.0,0.0
22,6/2/12 9:51 PM,0.0,0.0,0.0,0.0,0.0
23,6/2/12 9:51 PM,0.0,0.0,0.0,0.0,0.0
24,6/2/12 9:51 PM,0.0,0.0,0.0,0.0,0.0
1,6/2/12 9:51 PM,0.0,0.0,0.0,0.0,0.0
2,6/2/12 9:51 PM,0.0,0.0,0.0,0.0,0.0
3,6/2/12 9:51 PM,0.0,0.0,0.0,0.0,0.0
4,6/3/12 4:51 AM,15.01,9.57,11.04,11.78,6.62
5,6/3/12 5:51 AM,16.82,13.46,111.45,125.28,67.34
6,6/3/12 6:51 AM,20.71,23.19,299.65,309.4,242.68
7,6/3/12 7:51 AM,24.19,36.17,499.26,519.55,426.34
8,6/3/12 8:51 AM,27.29,47.67,685.49,707.88,551.68
9,6/3/12 9:51 AM,29.77,54.77,830.45,857.15,667.79
10,6/3/12 10:51 AM,29.88,55.59,921.58,949.96,724.56
11,6/3/12 11:51 AM,31.0,58.01,965.89,990.46,749.46
12,6/3/12 12:51 PM,31.66,57.22,958.67,969.34,745.07
13,6/3/12 1:51 PM,31.79,54.49,896.06,890.77,695.57
14,6/3/12 2:51 PM,31.75,50.19,776.41,752.19,607.38
15,6/3/12 3:51 PM,31.43,45.97,608.56,568.48,472.27
16,6/3/12 4:51 PM,33.31,39.62,408.95,354.26,295.01
17,6/3/12 5:51 PM,33.36,32.43,214.13,149.11,119.81
18,6/3/12 6:51 PM,26.65,25.24,44.51,25.12,20.25
19,6/3/12 7:51 PM,23.42,19.2,0.41,0.42,0.93
20,6/3/12 8:51 PM,21.22,16.28,0.0,0.0,0.0
21,6/3/12 9:51 PM,19.93,14.95,0.0,0.0,0.0
22,6/3/12 9:51 PM,0.0,0.0,0.0,0.0,0.0
23,6/3/12 9:51 PM,0.0,0.0,0.0,0.0,0.0
24,6/3/12 9:51 PM,0.0,0.0,0.0,0.0,0.0
1,6/3/12 9:51 PM,0.0,0.0,0.0,0.0,0.0
2,6/3/12 9:51 PM,0.0,0.0,0.0,0.0,0.0
3,6/3/12 9:51 PM,0.0,0.0,0.0,0.0,0.0
4,6/4/12 4:51 AM,17.72,14.9,11.99,14.3,7.44
5,6/4/12 5:51 AM,19.7,17.76,115.07,122.82,69.86
6,6/4/12 6:51 AM,22.07,23.5,283.88,284.06,227.46
7,6/4/12 7:51 AM,24.51,33.77,478.81,500.54,405.65
8,6/4/12 8:51 AM,27.1,44.74,672.43,696.35,541.95
9,6/4/12 9:51 AM,29.87,53.12,820.61,851.16,660.29
10,6/4/12 10:51 AM,31.51,59.13,918.47,951.32,721.01
11,6/4/12 11:51 AM,32.59,60.78,962.72,984.94,741.33
12,6/4/12 12:51 PM,32.8,56.64,874.37,907.25,667.07
13,6/4/12 1:51 PM,31.93,52.6,895.01,869.29,687.73
14,6/4/12 2:51 PM,30.46,44.54,479.37,470.39,408.19
15,6/4/12 3:51 PM,27.19,29.94,188.2,179.27,156.58
16,6/4/12 4:56 PM,25.36,27.77,126.32,129.09,109.51
17,6/4/12 5:56 PM,25.44,25.74,121.74,104.14,84.68
18,6/4/12 6:56 PM,24.37,23.15,50.2,33.4,27.49
19,6/4/12 7:56 PM,22.22,18.87,0.27,0.36,0.56
20,6/4/12 8:56 PM,21.25,17.66,0.0,0.0,0.0
21,6/4/12 9:56 PM,20.63,16.93,0.0,0.0,0.0
22,6/4/12 9:56 PM,0.0,0.0,0.0,0.0,0.0
23,6/4/12 9:56 PM,0.0,0.0,0.0,0.0,0.0
24,6/4/12 9:56 PM,0.0,0.0,0.0,0.0,0.0
1,6/4/12 9:56 PM,0.0,0.0,0.0,0.0,0.0
2,6/4/12 9:56 PM,0.0,0.0,0.0,0.0,0.0
3,6/4/12 9:56 PM,0.0,0.0,0.0,0.0,0.0
4,6/5/12 4:56 AM,17.58,16.01,3.55,4.63,2.37
5,6/5/12 5:56 AM,16.69,15.11,31.97,31.14,22.99
6,6/5/12 6:56 AM,16.44,15.07,35.3,34.52,26.31
7,6/5/12 7:56 AM,17.3,16.39,59.12,55.87,47.7
8,6/5/12 8:56 AM,19.37,21.44,201.8,198.32,168.62
9,6/5/12 9:56 AM,21.71,33.32,425.83,437.47,357.96
10,6/5/12 10:56 AM,24.06,49.63,813.98,824.89,643.73
11,6/5/12 11:56 AM,23.33,35.98,343.23,316.16,289.32
12,6/5/12 12:56 PM,25.35,49.81,873.45,889.72,683.89
13,6/5/12 1:56 PM,27.16,51.8,951.94,923.12,739.4
14,6/5/12 2:56 PM,27.48,42.89,733.78,708.24,553.21
15,6/5/12 3:56 PM,27.4,37.21,598.95,553.97,457.71
16,6/5/12 4:56 PM,28.91,30.77,416.59,360.47,303.46
17,6/5/12 5:56 PM,27.5,25.56,205.08,146.01,120.38
18,6/5/12 6:56 PM,22.81,20.97,47.37,25.4,21.02
19,6/5/12 7:56 PM,20.68,16.26,0.42,0.5,0.97
20,6/5/12 8:56 PM,19.63,15.18,0.0,0.0,0.0
21,6/5/12 9:46 PM,18.5,13.92,0.0,0.0,0.0
22,6/5/12 9:46 PM,0.0,0.0,0.0,0.0,0.0
23,6/5/12 9:46 PM,0.0,0.0,0.0,0.0,0.0
24,6/5/12 9:46 PM,0.0,0.0,0.0,0.0,0.0
1,6/5/12 9:46 PM,0.0,0.0,0.0,0.0,0.0
2,6/5/12 9:46 PM,0.0,0.0,0.0,0.0,0.0
3,6/5/12 9:46 PM,0.0,0.0,0.0,0.0,0.0
4,6/6/12 4:56 AM,15.68,11.55,9.63,12.22,5.86
5,6/6/12 5:56 AM,18.17,15.88,131.82,111.81,63.57
6,6/6/12 6:56 AM,20.61,22.79,305.23,314.19,240.2
7,6/6/12 7:56 AM,22.09,29.73,375.94,409.68,325.62
8,6/6/12 8:56 AM,24.03,34.39,647.52,673.7,513.75
9,6/6/12 9:56 AM,24.6,32.73,568.03,466.64,427.2
10,6/6/12 10:56 AM,25.56,37.11,768.84,737.1,592.04
11,6/6/12 11:56 AM,26.16,38.64,822.88,884.68,683.61
12,6/6/12 12:56 PM,26.86,42.43,951.29,938.3,760.81
13,6/6/12 1:56 PM,27.12,41.86,891.24,908.3,705.98
14,6/6/12 2:56 PM,27.3,39.34,792.05,768.37,624.87
15,6/6/12 3:56 PM,27.16,36.59,625.82,581.32,486.83
16,6/6/12 4:56 PM,30.08,32.29,432.54,371.04,310.33
17,6/6/12 5:56 PM,27.77,25.94,201.33,146.78,119.86
18,6/6/12 6:56 PM,23.23,21.22,51.24,30.7,26.53
19,6/6/12 7:56 PM,20.81,15.62,0.17,0.29,0.78
20,6/6/12 8:56 PM,18.61,12.34,0.0,0.0,0.0
21,6/6/12 9:56 PM,17.43,11.6,0.0,0.0,0.0
22,6/6/12 9:56 PM,0.0,0.0,0.0,0.0,0.0
23,6/6/12 9:56 PM,0.0,0.0,0.0,0.0,0.0
24,6/6/12 9:56 PM,0.0,0.0,0.0,0.0,0.0
1,6/6/12 9:56 PM,0.0,0.0,0.0,0.0,0.0
2,6/6/12 9:56 PM,0.0,0.0,0.0,0.0,0.0
3,6/6/12 9:56 PM,0.0,0.0,0.0,0.0,0.0
4,6/7/12 4:56 AM,13.89,9.27,14.34,15.16,8.29
5,6/7/12 5:56 AM,16.99,13.98,125.45,113.52,73.86
6,6/7/12 6:56 AM,20.94,24.29,295.33,298.3,236.55
7,6/7/12 7:36 AM,23.96,38.02,497.77,513.67,415.6
8,6/7/12 8:52 AM,26.83,47.74,665.74,687.26,518.43
9,6/7/12 9:52 AM,28.53,52.01,818.19,845.03,652.88
10,6/7/12 10:52 AM,30.33,57.2,928.54,959.45,721.63
11,6/7/12 11:52 AM,31.21,56.33,984.74,1003.37,750.98
12,6/7/12 12:52 PM,32.05,52.24,750.23,749.4,589.43
13,6/7/12 1:52 PM,31.99,49.35,820.72,800.75,633.34
14,6/7/12 2:52 PM,32.71,51.19,782.28,754.3,599.61
15,6/7/12 3:52 PM,32.87,46.93,616.19,571.41,467.76
16,6/7/12 4:54 PM,35.98,43.0,396.99,340.43,282.76
17,6/7/12 5:54 PM,34.97,34.98,213.79,146.47,119.95
18,6/7/12 6:54 PM,27.44,26.49,48.55,25.28,21.03
19,6/7/12 7:54 PM,24.43,20.64,0.54,0.85,1.13
20,6/7/12 8:54 PM,22.41,17.95,0.0,0.0,0.0
21,6/7/12 9:44 PM,21.01,15.57,0.0,0.0,0.0
22,6/7/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
23,6/7/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
24,6/7/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
1,6/7/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
2,6/7/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
3,6/7/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
4,6/8/12 4:54 AM,16.21,11.08,10.31,10.86,5.86
5,6/8/12 5:54 AM,18.96,15.44,118.59,107.28,64.08
6,6/8/12 6:54 AM,23.3,27.4,298.59,297.9,232.52
7,6/8/12 7:54 AM,27.02,42.74,493.67,507.86,407.44
8,6/8/12 8:54 AM,30.22,52.62,673.9,693.16,532.0
9,6/8/12 9:54 AM,32.79,59.59,811.65,838.15,641.31
10,6/8/12 10:54 AM,34.05,62.81,909.04,936.79,701.49
11,6/8/12 11:54 AM,34.54,62.76,961.48,983.98,729.37
12,6/8/12 12:54 PM,35.12,61.91,949.71,958.47,718.38
13,6/8/12 1:54 PM,36.45,64.24,875.86,863.37,658.56
14,6/8/12 2:54 PM,36.88,58.67,756.23,728.01,568.39
15,6/8/12 3:54 PM,36.24,51.57,596.35,554.88,444.53
16,6/8/12 4:54 PM,37.33,43.17,406.08,351.05,289.63
17,6/8/12 5:54 PM,35.83,35.33,209.19,151.97,122.54
18,6/8/12 6:54 PM,28.77,27.2,51.99,31.81,26.34
19,6/8/12 7:54 PM,25.34,21.01,0.64,0.72,1.1
20,6/8/12 8:54 PM,23.39,18.09,0.0,0.0,0.0
21,6/8/12 9:44 PM,22.36,16.69,0.0,0.0,0.0
22,6/8/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
23,6/8/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
24,6/8/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
1,6/8/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
2,6/8/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
3,6/8/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
4,6/9/12 4:54 AM,17.61,12.9,12.44,12.36,6.78
5,6/9/12 5:54 AM,19.84,17.46,114.47,105.45,68.08
6,6/9/12 6:54 AM,24.89,30.17,297.85,296.14,230.17
7,6/9/12 7:54 AM,29.72,42.91,499.66,511.42,408.82
8,6/9/12 8:54 AM,33.3,53.41,705.73,719.14,555.52
9,6/9/12 9:54 AM,35.05,55.02,719.68,720.96,580.21
10,6/9/12 10:54 AM,36.43,63.35,968.56,970.89,743.94
11,6/9/12 11:54 AM,35.96,60.04,759.41,826.07,586.13
12,6/9/12 12:54 PM,37.11,56.79,857.79,771.11,645.15
13,6/9/12 1:54 PM,38.1,63.18,850.13,675.94,621.88
14,6/9/12 2:54 PM,36.03,47.55,490.02,468.91,366.75
15,6/9/12 3:54 PM,38.34,55.04,655.22,561.53,489.14
16,6/9/12 4:54 PM,37.52,43.0,406.88,352.7,290.38
17,6/9/12 5:54 PM,34.63,34.13,213.84,156.93,125.6
18,6/9/12 6:54 PM,29.19,27.26,51.18,32.63,26.4
19,6/9/12 7:54 PM,26.08,21.97,0.41,0.56,0.86
20,6/9/12 8:54 PM,23.97,19.18,0.0,0.0,0.0
21,6/9/12 9:44 PM,22.79,17.64,0.0,0.0,0.0
22,6/9/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
23,6/9/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
24,6/9/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
1,6/9/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
2,6/9/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
3,6/9/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
4,6/10/12 4:54 AM,17.69,12.33,13.1,13.19,7.41
5,6/10/12 5:54 AM,20.19,17.18,115.11,106.01,68.18
6,6/10/12 6:54 AM,24.22,29.28,295.6,296.66,231.04
7,6/10/12 7:54 AM,27.72,41.6,489.59,504.0,404.15
8,6/10/12 8:54 AM,30.83,51.49,663.29,686.68,525.85
9,6/10/12 9:54 AM,33.57,59.38,810.86,841.36,638.86
10,6/10/12 10:54 AM,35.99,64.93,918.59,948.37,706.52
11,6/10/12 11:54 AM,37.04,65.98,957.37,979.0,723.13
12,6/10/12 12:54 PM,37.67,66.49,950.92,961.84,717.62
13,6/10/12 1:54 PM,38.26,63.66,889.62,882.87,667.47
14,6/10/12 2:54 PM,36.75,54.89,772.38,755.71,586.45
15,6/10/12 3:54 PM,34.96,48.66,618.89,578.09,468.2
16,6/10/12 4:54 PM,39.14,45.21,423.4,365.38,300.48
17,6/10/12 5:54 PM,38.3,37.38,209.95,152.11,122.24
18,6/10/12 6:54 PM,29.33,27.96,43.88,28.08,22.45
19,6/10/12 7:54 PM,24.57,21.19,0.32,0.59,0.82
20,6/10/12 8:54 PM,23.09,18.6,0.0,0.0,0.0
21,6/10/12 9:44 PM,22.18,17.53,0.0,0.0,0.0
22,6/10/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
23,6/10/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
24,6/10/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
1,6/10/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
2,6/10/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
3,6/10/12 9:44 PM,0.0,0.0,0.0,0.0,0.0
4,6/11/12 4:54 AM,18.03,13.75,11.0,11.13,6.02
5,6/11/12 5:54 AM,19.68,16.97,124.26,102.55,61.02
6,6/11/12 6:54 AM,23.55,24.57,284.54,284.23,225.31
7,6/11/12 7:54 AM,27.37,41.65,505.85,522.43,417.02
8,6/11/12 8:57 AM,29.73,46.36,692.45,719.12,550.0
9,6/11/12 9:57 AM,31.52,48.13,829.01,857.92,656.74
10,6/11/12 10:57 AM,32.28,47.34,737.68,744.93,590.16
11,6/11/12 11:57 AM,31.37,41.37,504.36,511.77,424.82
12,6/11/12 12:57 PM,32.47,54.66,967.77,983.85,730.25
13,6/11/12 1:57 PM,33.38,54.76,745.1,731.16,582.18
14,6/11/12 2:57 PM,32.11,43.14,390.94,362.46,302.99
15,6/11/12 3:57 PM,31.17,36.82,237.41,229.11,196.74
16,6/11/12 4:57 PM,35.39,39.51,398.45,353.28,292.16
17,6/11/12 5:57 PM,34.01,33.5,224.53,159.95,126.63
18,6/11/12 6:57 PM,27.28,26.31,61.37,37.44,29.05
19,6/11/12 7:57 PM,24.73,21.77,2.13,2.21,1.91
20,6/11/12 8:57 PM,23.35,19.34,0.0,0.0,0.0
21,6/11/12 9:57 PM,22.19,17.79,0.0,0.0,0.0
22,6/11/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
23,6/11/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
24,6/11/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
1,6/11/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
2,6/11/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
3,6/11/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
4,6/12/12 4:57 AM,18.5,14.71,9.81,11.5,5.83
5,6/12/12 5:57 AM,21.27,18.51,116.89,105.49,59.53
6,6/12/12 6:57 AM,24.76,28.19,299.16,299.57,232.18
7,6/12/12 7:57 AM,27.75,39.46,498.54,513.76,411.95
8,6/12/12 8:57 AM,30.88,48.58,675.5,696.81,540.66
9,6/12/12 9:57 AM,33.42,56.32,814.34,839.22,650.24
10,6/12/12 10:57 AM,34.34,59.3,918.01,943.8,717.74
11,6/12/12 11:57 AM,35.4,60.89,964.29,983.59,742.43
12,6/12/12 12:57 PM,35.64,60.53,949.17,957.47,727.54
13,6/12/12 1:57 PM,35.37,57.01,883.95,872.01,676.73
14,6/12/12 2:57 PM,35.71,54.59,760.76,739.43,587.01
15,6/12/12 3:57 PM,34.7,48.26,605.06,564.78,461.84
16,6/12/12 4:57 PM,37.3,42.49,417.42,363.25,298.96
17,6/12/12 5:57 PM,35.56,34.93,219.13,157.39,125.09
18,6/12/12 6:57 PM,29.2,27.85,56.36,32.47,25.02
19,6/12/12 7:57 PM,26.67,23.57,1.76,1.73,1.54
20,6/12/12 8:57 PM,24.99,21.67,0.0,0.0,0.0
21,6/12/12 9:57 PM,23.71,20.09,0.0,0.0,0.0
22,6/12/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
23,6/12/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
24,6/12/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
1,6/12/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
2,6/12/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
3,6/12/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
4,6/13/12 4:57 AM,19.93,15.8,11.3,12.5,6.62
5,6/13/12 5:57 AM,22.11,19.19,116.42,106.23,62.13
6,6/13/12 6:57 AM,24.62,28.15,297.29,301.88,229.85
7,6/13/12 7:57 AM,27.35,38.88,502.72,519.44,410.6
8,6/13/12 8:57 AM,29.8,45.64,687.93,714.61,528.4
9,6/13/12 9:57 AM,31.0,51.34,840.07,869.03,666.54
10,6/13/12 10:57 AM,32.15,57.53,935.45,964.86,722.87
11,6/13/12 11:57 AM,31.64,51.49,880.38,940.73,669.16
12,6/13/12 12:57 PM,30.75,45.68,862.51,992.91,706.72
13,6/13/12 1:57 PM,31.37,48.03,907.54,898.33,694.91
14,6/13/12 2:57 PM,31.35,44.46,790.27,768.07,605.96
15,6/13/12 3:57 PM,30.77,40.4,631.31,583.42,481.23
16,6/13/12 4:57 PM,33.64,35.72,435.14,379.75,311.27
17,6/13/12 5:57 PM,31.98,29.46,228.18,163.17,128.5
18,6/13/12 6:57 PM,26.81,25.19,71.3,45.65,36.96
19,6/13/12 7:57 PM,24.71,20.91,2.86,2.67,2.88
20,6/13/12 8:57 PM,22.64,18.57,0.0,0.0,0.0
21,6/13/12 9:57 PM,21.48,16.87,0.0,0.0,0.0
22,6/13/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
23,6/13/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
24,6/13/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
1,6/13/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
2,6/13/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
3,6/13/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
4,6/14/12 4:57 AM,18.21,14.3,9.42,11.2,6.21
5,6/14/12 5:57 AM,20.63,17.09,115.96,108.39,63.42
6,6/14/12 6:57 AM,22.88,25.15,303.65,310.13,233.95
7,6/14/12 7:57 AM,24.62,31.7,508.11,529.16,419.54
8,6/14/12 8:57 AM,26.86,37.57,694.7,719.13,554.21
9,6/14/12 9:57 AM,28.21,40.81,848.28,879.6,672.55
10,6/14/12 10:57 AM,29.08,44.41,952.57,982.1,749.97
11,6/14/12 11:57 AM,29.45,43.96,1004.94,1022.4,768.65
12,6/14/12 12:57 PM,29.97,45.2,999.08,1004.78,770.11
13,6/14/12 1:57 PM,30.29,43.17,935.85,925.27,719.16
14,6/14/12 2:57 PM,30.07,41.06,814.48,787.57,630.38
15,6/14/12 3:57 PM,30.08,37.53,645.65,603.33,494.5
16,6/14/12 4:57 PM,31.95,33.55,445.53,389.19,310.54
17,6/14/12 5:57 PM,30.78,28.24,244.49,172.4,134.43
18,6/14/12 6:57 PM,25.24,23.66,62.22,31.82,23.19
19,6/14/12 7:57 PM,22.93,20.19,1.05,1.27,1.36
20,6/14/12 8:57 PM,21.98,18.25,0.0,0.0,0.0
21,6/14/12 9:57 PM,20.54,15.08,0.0,0.0,0.0
22,6/14/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
23,6/14/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
24,6/14/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
1,6/14/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
2,6/14/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
3,6/14/12 9:57 PM,0.0,0.0,0.0,0.0,0.0
4,6/15/12 4:57 AM,18.67,13.42,9.6,11.2,6.2
5,6/15/12 5:57 AM,21.09,18.65,122.77,111.09,63.96
6,6/15/12 6:57 AM,23.61,26.25,301.68,300.12,230.19
7,6/15/12 7:57 AM,25.8,30.98,459.74,473.45,380.27
8,6/15/12 8:57 AM,27.25,35.35,666.32,692.64,527.58
9,6/15/12 9:57 AM,28.63,39.55,844.96,874.48,681.04
10,6/15/12 10:57 AM,28.88,40.82,954.19,981.81,757.69
11,6/15/12 11:57 AM,29.27,41.94,1004.53,1023.39,783.13
12,6/15/12 12:57 PM,30.02,42.01,1031.55,1014.88,792.86
13,6/15/12 1:57 PM,30.22,41.32,874.31,864.19,683.88
14,6/15/12 2:57 PM,30.34,39.88,807.06,781.46,628.56
15,6/15/12 3:47 PM,29.55,35.92,653.33,612.34,504.72
16,6/15/12 4:57 PM,32.01,30.87,221.91,151.5,120.62
17,6/15/12 5:47 PM,31.58,28.64,48.85,26.02,18.77
18,6/15/12 6:59 PM,25.49,23.47,1.27,1.7,1.69
19,6/15/12 7:59 PM,23.07,20.54,0.0,0.0,0.0
20,6/15/12 8:59 PM,21.45,17.65,0.0,0.0,0.0
21,6/15/12 9:49 PM,20.86,17.72,8.48,10.6,5.56
22,6/15/12 9:49 PM,0.0,0.0,0.0,0.0,0.0
23,6/15/12 9:49 PM,0.0,0.0,0.0,0.0,0.0
24,6/15/12 9:49 PM,0.0,0.0,0.0,0.0,0.0
1,6/15/12 9:49 PM,0.0,0.0,0.0,0.0,0.0
2,6/15/12 9:49 PM,0.0,0.0,0.0,0.0,0.0
3,6/16/12 3:59 AM,19.2,16.2,122.19,111.71,64.35
4,6/16/12 4:59 AM,19.62,16.86,306.18,307.51,232.38
5,6/16/12 5:59 AM,21.44,20.86,503.33,521.79,413.43
6,6/16/12 6:59 AM,23.83,26.76,685.74,708.45,551.98
7,6/16/12 7:59 AM,25.86,31.5,830.53,857.43,674.75
8,6/16/12 8:59 AM,27.41,35.65,938.2,963.78,744.91
9,6/16/12 9:59 AM,28.43,39.3,982.49,1000.29,766.61
10,6/16/12 10:55 AM,29.29,42.0,973.42,979.84,757.02
11,6/16/12 11:55 AM,29.88,43.02,909.48,900.8,704.05
12,6/16/12 12:55 PM,30.6,43.85,795.13,769.3,617.9
13,6/16/12 1:55 PM,31.02,43.2,635.68,594.18,487.94
14,6/16/12 2:55 PM,31.63,41.67,440.01,384.41,312.09
15,6/16/12 3:55 PM,31.58,38.51,239.59,170.71,132.08
16,6/16/12 4:55 PM,33.97,35.01,62.63,33.4,24.22
17,6/16/12 5:55 PM,33.73,31.03,1.5,2.13,1.67
18,6/16/12 6:55 PM,28.06,26.48,0.0,0.0,0.0
19,6/16/12 7:55 PM,25.21,22.57,0.0,0.0,0.0
20,6/16/12 8:55 PM,23.11,20.29,9.69,11.75,6.08
21,6/16/12 9:55 PM,22.04,18.55,116.33,106.8,60.99
